#doc=loveyourself.2.txt;;;;;;;;;;;;;;
21;кхм..;КХМ;INTJ;;;;;м;х;к;;NONLEX;КХМ..;NONLEX
22;они;ОНИ;SPRO pl - - nom 3P;;;и;н;о;;;;SPRO;ОНИ;SPRO pl - - nom
23;дают;ДАВАТЬ;V ipf praes pl indic - 3p;;;т;ю;а;д;;;V;ДАВАТЬ;V ipf praes pl indic - 3p
24;нам;МЫ;SPRO pl 1p - dat;;;м;а;н;;;;SPRO;МЫ;SPRO pl 1p - dat
25;какие-то;КАКОЙ-ТО;APPRO - acc pl - -;;;о;т;;е;и;к;A;КАКОЙ-ТО;A - nom pl plen - -
26;стандарты;СТАНДАРТ;S m inan acc pl;;;ы;т;р;а;д;н;S;СТАНДАРТ;S m inan nom pl
27;красоты;КРАСОТА;S f inan gen sg;;;ы;т;о;с;а;р;S;КРАСОТА;S f inan gen sg
28;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
29;стандарты;СТАНДАРТ;S m inan acc pl;;;ы;т;р;а;д;н;S;СТАНДАРТ;S m inan acc pl
30;жизни;ЖИЗНЬ;S f inan gen sg;;;и;н;з;и;ж;;S;ЖИЗНЬ;S f inan gen sg
31;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
32;кхм;КХМ;INTJ;;;м;х;к;;;;NONLEX;КХМ;NONLEX
33;-;-;PUNC;;;;;;;;;PUNC;-;PUNC
34;кхм;КХМ;INTJ;;;м;х;к;;;;NONLEX;КХМ;NONLEX
35;..;..;SENT;;;;;;;;;SENT;..;SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
3;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
4;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
5;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX
6;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
7;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
8;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
9;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
10;которые;КОТОРЫЙ;APPRO pl  acc;;;е;ы;р;о;т;о;A;КОТОРЫЙ;A - nom pl plen - -
11;мы;МЫ;SPRO pl 1p - nom;;;ы;м;;;;;SPRO;МЫ;SPRO pl 1p - nom
12;должны;ДОЛЖНЫЙ;A - - pl brev - -;;;ы;н;ж;л;о;д;A;ДОЛЖНЫЙ;A - - pl brev - -
13;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
14;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
15;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
3;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
4;которых;КОТОРЫЙ;APPRO - gen pl  - -;;;х;ы;р;о;т;о;A;КОТОРЫЙ;A - gen pl plen - -
5;мы;МЫ;SPRO pl 1p - nom;;;ы;м;;;;;SPRO;МЫ;SPRO pl 1p - nom
6;должны;ДОЛЖНЫЙ;A - - pl brev - -;;;ы;н;ж;л;о;д;A;ДОЛЖНЫЙ;A - - pl brev - -
7;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
8;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
9;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
5;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2;которых;КОТОРЫЙ;APPRO - gen pl - -;;;х;ы;р;о;т;о;A;КОТОРЫЙ;A - gen pl plen - -
3;мы;МЫ;SPRO pl 1p - nom;;;ы;м;;;;;SPRO;МЫ;SPRO pl 1p - nom
4;должны;ДОЛЖНЫЙ;A - - pl brev - -;;;ы;н;ж;л;о;д;A;ДОЛЖНЫЙ;A - - pl brev - -
5;придерживаться;ПРИДЕРЖИВАТЬСЯ;V ipf - - inf - -;;;я;с;ь;т;а;в;V;ПРИДЕРЖИВАТЬСЯ;V ipf - - inf - -
6;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
7;но;НО;CONJ;;;о;н;;;;;CONJ;НО;CONJ
8;на;НА;PR;;;а;н;;;;;PR;НА;PR
9;самом;САМЫЙ;APPRO - loc sg plen n -;;;м;о;м;а;с;;A;САМЫЙ;A - loc sg plen n -
10;деле;ДЕЛО;S n inan loc sg;;;е;л;е;д;;;S;ДЕЛО;S n inan loc sg
11;это;ЭТО;SPRO n - nom sg;;;о;т;э;;;;S;ЭТО;S n - acc sg
12;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
13;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
14;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
15;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
16;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX
17;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
18;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
19;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
20;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
21;всё;ВЕСЬ;SPRO nom;;;ё;с;в;;;;PART;ВСЕ;PART
22;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
23;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
24;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
3;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
4;всего;ВСЕГО;ADVPRO -;;;о;г;е;с;в;;ADV;ВСЕГО;ADV -
5;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
6;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
7;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
3;лишь;ЛИШЬ;PART;;;ь;ш;и;л;;;PART;ЛИШЬ;PART
4;рекламный;РЕКЛАМНЫЙ;A - nom sg plen m inan;;;й;ы;н;м;а;л;A;РЕКЛАМНЫЙ;A - acc sg plen m inan
5;ход;ХОД;S m inan nom sg;;;д;о;х;;;;S;ХОД;S m inan acc sg
6;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
7;люди;ЧЕЛОВЕК;S  anim nom pl;;;и;д;ю;л;;;S;ЧЕЛОВЕК;S m anim nom pl
8;часто;ЧАСТО;ADV -;;;о;т;с;а;ч;;ADV;ЧАСТО;ADV -
9;этого;ЭТО;APPRO n - gen sg;;;о;г;о;т;э;;S;ЭТО;S n - gen sg
10;не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART
11;понимают;ПОНИМАТЬ;V ipf praes pl indic - 3p;;;т;ю;а;м;и;н;V;ПОНИМАТЬ;V ipf praes pl indic - 3p
12;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
13;пытаются;ПЫТАТЬСЯ;V ipf praes pl indic - 3p;;;я;с;т;ю;а;т;V;ПЫТАТЬСЯ;V ipf praes pl indic - 3p
14;себя;СЕБЯ;SPRO - - - acc;;;я;б;е;с;;;SPRO;СЕБЯ;SPRO - - - acc
15;под;ПОД;PR;;;д;о;п;;;;PR;ПОД;PR
16;эти;ЭТОТ;APPRO - acc pl plen - inan;;;и;т;э;;;;A;ЭТОТ;A - acc pl plen - inan
17;рамки;РАМКА;S f inan acc pl;;;и;к;м;а;р;;S;РАМКА;S f inan acc pl
18;подогнать;ПОДОГНАТЬ;V pf - - inf - -;;;ь;т;а;н;г;о;V;ПОДОГНАТЬ;V pf - - inf - -
19;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
20;тем;ТО;SPRO n - ins sg;;;м;е;т;;;;S;ТО;S n - ins sg
21;самым;САМЫЙ;APPRO - ins sg plen -;;;м;ы;м;а;с;;A;САМЫЙ;A - ins sg plen n -
22;они;ОНИ;SPRO pl - - nom;;;и;н;о;;;;SPRO;ОНИ;SPRO pl - - nom
23;просто;ПРОСТО;PART;;;о;т;с;о;р;п;PART;ПРОСТО;PART
24;губят;ГУБИТЬ;V ipf praes pl indic - 3p;;;т;я;б;у;г;;V;ГУБИТЬ;V ipf praes pl indic - 3p
25;свою;СВОЙ;APPRO - acc sg f -;;;ю;о;в;с;;;A;СВОЙ;A - acc sg plen f -
26;жизнь;ЖИЗНЬ;S f inan acc sg;;;ь;н;з;и;ж;;S;ЖИЗНЬ;S f inan acc sg
27;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
28;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
29;в;В;PR;;;в;;;;;;PR;В;PR
30;итоге;ИТОГ;S m inan loc sg;;;е;г;о;т;и;;S;ИТОГ;S m inan loc sg
31;они;ОНИ;SPRO pl - - nom;;;и;н;о;;;;SPRO;ОНИ;SPRO pl - - nom
32;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
33;конечно;КОНЕЧНО;PARENTH;;;о;н;ч;е;н;о;ADV;КОНЕЧНО;ADV -
34;же;ЖЕ;PART;;;е;ж;;;;;PART;ЖЕ;PART
35;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36;несчастны;НЕСЧАСТНЫЙ;A - - pl brev - -;;;ы;н;т;с;а;ч;A;НЕСЧАСТНЫЙ;A - - pl brev - -
37;потому что;потому что;ZERO;;;о;т;ч;;у;м;ZERO;потому что;ZERO
38;они;ОНИ;SPRO pl - - nom;;;и;н;о;;;;SPRO;ОНИ;SPRO pl - - nom
39;не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART
40;делают;ДЕЛАТЬ;V ipf praes pl indic - 3p;;;т;ю;а;л;е;д;V;ДЕЛАТЬ;V ipf praes pl indic - 3p
41;то;ТО;SPRO;;;о;т;;;;;CONJ;ТО;CONJ
42;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
43;что;ЧТО;CONJ;;;о;т;ч;;;;CONJ;ЧТО;CONJ
44;они;ОНИ;SPRO pl - - nom;;;и;н;о;;;;SPRO;ОНИ;SPRO pl - - nom
45;хотят;ХОТЕТЬ;V ipf praes pl indic - 3p;;;т;я;т;о;х;;V;ХОТЕТЬ;V ipf praes pl indic - 3p
46;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
47;а..;А;CONJ;раздельно с многоточием;;;;а;;;;CONJ;А..;CONJ
48;из;ИЗ;PR;;;з;и;;;;;PR;ИЗ;PR
49;этого;ЭТО;APPRO n - gen sg;;;о;г;о;т;э;;S;ЭТО;S n - gen sg
50;следует;СЛЕДОВАТЬ;V ipf praes sg indic - 3p;;;т;е;у;д;е;л;V;СЛЕДОВАТЬ;V ipf praes sg indic - 3p
51;аа;А;NONLEX;;;а;а;;;;;NONLEX;АА;NONLEX
52;…;…;PUNC;;;;;;;;;PUNC;…;PUNC
53;то;ТО;SPRO inan pl ;;;о;т;;;;;CONJ;ТО;CONJ
54;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
55;что;ЧТО;cONJ;;;о;т;ч;;;;S;ЧТО;S n inan acc sg
56;чтобы;ЧТОБЫ;CONJ;;;ы;б;о;т;ч;;CONJ;ЧТОБЫ;CONJ
57;быть;БЫТЬ;V ipf - - inf - -;;;ь;т;ы;б;;;V;БЫТЬ;V ipf - - inf - -
58;счастливым;СЧАСТЛИВЫЙ;A - ins sg plen m -;;;м;ы;в;и;л;т;A;СЧАСТЛИВЫЙ;A - ins sg plen m -
59;нужно;НУЖНО;PRAEDIC;;;о;н;ж;у;н;;ADV;НУЖНО;ADV -
60;полюбить;ПОЛЮБИТЬ;V pf - - inf - -;;;ь;т;и;б;ю;л;V;ПОЛЮБИТЬ;V pf - - inf - -
61;себя;СЕБЯ;SPRO - - - acc;;;я;б;е;с;;;SPRO;СЕБЯ;SPRO - - - acc
62;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
63;нужно;НУЖНO;PRAEDIC;;;о;н;ж;у;н;;ADV;НУЖНО;ADV -
64;принять;ПРИНЯТЬ;V pf - - inf - -;;;ь;т;я;н;и;р;V;ПРИНЯТЬ;V pf - - inf - -
65;себя;СЕБЯ;SPRO - - - acc;;;я;б;е;с;;;SPRO;СЕБЯ;SPRO - - - acc
66;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
67;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
68;нужно;НУЖНО;PRAEDIC;;;о;н;ж;у;н;;ADV;НУЖНО;ADV -
69;делать;ДЕЛАТЬ;V ipf - - inf - -;;;ь;т;а;л;е;д;V;ДЕЛАТЬ;V ipf - - inf - -
70;только;ТОЛЬКО;ADV -;;;о;к;ь;л;о;т;PART;ТОЛЬКО;PART
71;то;ТО;SPPRO n inan nom;;;о;т;;;;;S;ТО;S n - nom sg
72;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
73;что;ЧТО;CONJ;;;о;т;ч;;;;CONJ;ЧТО;CONJ
74;делает;ДЕЛАТЬ;V ipf praes sg indic - 3p;;;т;е;а;л;е;д;V;ДЕЛАТЬ;V ipf praes sg indic - 3p
75;тебя;ТЫ;SPRO sg 2p - acc;;;я;б;е;т;;;SPRO;ТЫ;SPRO sg 2p - acc
76;счастливым;СЧАСТЛИВЫЙ;A - ins sg plen m -;;;м;ы;в;и;л;т;A;СЧАСТЛИВЫЙ;A - ins sg plen m -
77;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
78;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
79;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
80;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
81;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
82;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX
83;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
84;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
85;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
86;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
87;тойсть;ТО ЕСТЬ;V ipf praes sg indic - 3p;distort;;ь;т;с;й;о;т;V;ТОЙСТЬ;V ipf praes sg indic - 3p
88;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
89;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
90;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
3;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
4;то есть;то есть;-;;;ь;т;с;е;;о;-;то есть;-
5;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
6;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
7;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
3;если;ЕСЛИ;CONJ;;;и;л;с;е;;;CONJ;ЕСЛИ;CONJ
4;ты;ТЫ;SPRO sg 2p - nom;;;ы;т;;;;;SPRO;ТЫ;SPRO sg 2p - nom
5;хочешь;ХОТЕТЬ;V ipf praes sg indic - 2p;;;ь;ш;е;ч;о;х;V;ХОТЕТЬ;V ipf praes sg indic - 2p
6;быть;БЫТЬ;V ipf - - inf - -;;;ь;т;ы;б;;;V;БЫТЬ;V ipf - - inf - -
7;художником;ХУДОЖНИК;S m anim ins sg;;;м;о;к;и;н;ж;S;ХУДОЖНИК;S m anim ins sg
8;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
9;это;ЭТО;SPPRO n - nom sg;;;о;т;э;;;;S;ЭТО;S n - nom sg
10;значит;ЗНАЧИТЬ;V ipf praes sg indic - 3p;;;т;и;ч;а;н;з;V;ЗНАЧИТЬ;V ipf praes sg indic - 3p
11;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
12;что;ЧТО;CONJ;;;о;т;ч;;;;CONJ;ЧТО;CONJ
13;ты;ТЫ;SPRO sg 2p - nom;;;ы;т;;;;;SPRO;ТЫ;SPRO sg 2p - nom
14;должен;ДОЛЖНЫЙ;A - - sg brev m -;;;н;е;ж;л;о;д;A;ДОЛЖНЫЙ;A - - sg brev m -
15;быть;БЫТЬ;V ipf - - inf - -;;;ь;т;ы;б;;;V;БЫТЬ;V ipf - - inf - -
16;художником;ХУДОЖНИК;S m anim ins sg;;;м;о;к;и;н;ж;S;ХУДОЖНИК;S m anim ins sg
17;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
18;а;А;CONJ;;;а;;;;;;CONJ;А;CONJ
19;не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART
20;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
21;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
22;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
23;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
24;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX
25;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
26;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
27;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
28;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
29;ким;КАКИМ;APPRO m ins sg;слитно;;м;и;к;;;;S;КИМ;S m anim nom sg
30;-;-;PUNC;;;;;;;;;PUNC;-;PUNC
31;нить;НИБУДЬ;APPRO m ins sg;слитно;;ь;т;и;н;;;S;НИТЬ;S f inan nom sg
32;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
33;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
34;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
3;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
4;каким-нибудь;КАКОЙ-НИБУДЬ;APPRO - ins sg - -;;;ь;д;у;б;и;н;A;КАКОЙ-НИБУДЬ;A - dat pl plen - -
5;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
6;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
7;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
3;юристом;ЮРИСТ;S m anim ins sg;;;м;о;т;с;и;р;S;ЮРИСТ;S m anim ins sg
4;.;.;SENT;;;;;;;;;SENT;.;SENT
;;;;;;;;;;;;;;
1;Диана;ДИАНА;S f anim nom sg;;;а;н;а;и;д;;S;ДИАНА;S f anim nom sg
2;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
3;И;И;CONJ;;;и;;;;;;CONJ;И;CONJ
4;поэтому;ПОЭТОМУ;ADV -;;;у;м;о;т;э;о;ADV;ПОЭТОМУ;ADV -
5;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
6;наверно;НАВЕРНО;ADV -;;;о;н;р;е;в;а;ADV;НАВЕРНО;ADV -
7;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
8;в;В;PR;;;в;;;;;;PR;В;PR
9;нашем;НАШ;APPRO - loc sg  -;;;м;е;ш;а;н;;A;НАШ;A - loc sg plen m -
10;мире;МИР;S m inan loc sg;;;е;р;и;м;;;S;МИР;S m inan loc sg
11;так;ТАК;ADVPRO;;;к;а;т;;;;ADV;ТАК;ADV -
12;много;МНОГО;NUM;;;о;г;о;н;м;;ADV;МНОГО;ADV -
13;несчастных;НЕСЧАСТНЫЙ;A - gen pl plen - -;;;х;ы;н;т;с;а;A;НЕСЧАСТНЫЙ;A - gen pl plen - -
14;людей;ЧЕЛОВЕК;S m anim gen pl;;;й;е;д;ю;л;;S;ЧЕЛОВЕК;S m anim gen pl
15;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
16;потому что;потому что;ZERO;;;о;т;ч;;у;м;ZERO;потому что;ZERO
17;они;ОНИ;SPRO pl - - nom;;;и;н;о;;;;SPRO;ОНИ;SPRO pl - - nom
18;боятся;БОЯТЬСЯ;V ipf praes pl indic - 3p;;;я;с;т;я;о;б;V;БОЯТЬСЯ;V ipf praes pl indic - 3p
19;делать;ДЕЛАТЬ;V ipf - - inf - -;;;ь;т;а;л;е;д;V;ДЕЛАТЬ;V ipf - - inf - -
20;то;ТО;SPPRO n inan nom;;;о;т;;;;;CONJ;ТО;CONJ
21;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
22;class;CLASS;NONLEX;;;;;;;;;NONLEX;CLASS;NONLEX
23;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
24;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
25;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
26;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
27;note;NOTE;NONLEX;;;;;;;;;NONLEX;NOTE;NONLEX
28;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
29;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
30;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
